Numero,Nome,Sesso,Attività,Paesi di prima pubblicazione,Mercati,Editori,Insegna presso
,"Ziche, Silvia",F,"Disegni, Autrice unica",IT,"P, GN","Sergio Bonelli Editore, The Walt Disney Company, Rizzoli Lizard Lizard, BD",
,"Contu, Gabriella",F,Sceneggiatura,IT,P,Sergio Bonelli Editore,
,"Riccardi, Vincenzo",M,Disegni,"FR, IT","P, GN","Sergio Bonelli Editore, Editions Clair de Lune, Vestron",
,"Bonessi, Luca",M,Disegni,IT,P,Sergio Bonelli Editore,
,"Bignamini, Alessandro",M,Disegni,IT,P,Sergio Bonelli Editore,
,"Checchetto, Marco",M,Disegni,"IT, US",P,"Panini Comics, Marvel Comics",
,"Eccher, Giovanni",M,Sceneggiatura,IT,P,Sergio Bonelli Editore,
,"Calcaterra, Ivan",M,Disegni,IT,P,Sergio Bonelli Editore,
,"Watanabe, Yoshiko",F,Autrice unica,IT,GN,"GP Publishing, BD",
,"Masi, Giovanni",M,Sceneggiatura,IT,"P, GN","Sergio Bonelli Editore, BAO Publishing",
,"Simeone, Stefano",M,"Disegni, Colori, Autore unico","IT, US","P, GN","Sergio Bonelli Editore, The Walt Disney Company, BAO Publishing, IDW Publishing",SRF - Scuola Romana dei Fumetti
,"Buffagni, Matteo",M,Disegni,IT,P,Astorina,
,"Nizzi, Claudio",M,Sceneggiatura,IT,P,"SaldaPress, Sergio Bonelli Editore, Rizzoli Lizard Lizard",
,"Serra, Antonio",M,Sceneggiatura,IT,P,Sergio Bonelli Editore,
,"Villa, Claudio",M,Disegni,IT,P,Sergio Bonelli Editore,Dali Arts (Vicenza)
,"Castelli, Alfredo",M,Sceneggiatura,IT,P,"Astorina, Sergio Bonelli Editore, The Walt Disney Company, COMICON Edizioni",
,"Alessandrini, Giancarlo",M,Disegni,IT,P,Sergio Bonelli Editore,
,"Castellini, Claudio",M,Disegni,"IT, US",P,"Sergio Bonelli Editore, Panini Comics, Dc Comics, Marvel Comics",
,"Mirulla, Elena",F,Autrice unica,IT,GN,Cronache di Topolinia,
,"Radice, Teresa",F,Sceneggiatura,"FR, IT","P, GN","The Walt Disney Company, BAO Publishing, Dargaud",
,"Turconi, Stefano",M,Disegni,IT,"P, GN","The Walt Disney Company, BAO Publishing",
,"Burattini, Moreno",M,Sceneggiatura,IT,P,Sergio Bonelli Editore,
,"Caluri, Daniele",M,Disegni,IT,"P, GN","Sergio Bonelli Editore, Feltrinelli Editore",
,"Barbieri, Francesco",M,Disegni,IT,P,The Walt Disney Company,
,"Candita, Giuseppe",M,Disegni,IT,"P, GN","Sergio Bonelli Editore, Edizioni Inkiostro",
,"D'Agata, Fabio",M,Disegni,IT,P,Sergio Bonelli Editore,
,"Manfredi, Gianfranco",M,Sceneggiatura,IT,P,Sergio Bonelli Editore,
,"Brindisi, Bruno",M,Disegni,IT,P,Sergio Bonelli Editore,
,"Boselli, Mauro",M,Sceneggiatura,IT,P,Sergio Bonelli Editore,
,"Dotti, Maurizio",M,Disegni,IT,P,Sergio Bonelli Editore,
,"Giambusso, Claudia",F,Autrice unica,IT,GN,Mangasenpai,
,"Liani, Gianmaria",M,Autore unico,"FR, IT",GN,"Kappalab, Editions Clair de Lune",
,"Baricordi, Andrea",M,Sceneggiatura,IT,GN,Kappalab,
