"","Nome d'arte","Nome","Sesso","Attivit‡","Paesi.di.prima.pubblicazione","Mercati","Editori","Insegna.presso","ISBN"
"296",NA,"Buratti, Federico","M","Sceneggiatura","IT","P","The Walt Disney Company","",""
"297",NA,"Burattini, Mureno","M","Sceneggiatura","IT","P","Sergio Bonelli Editore","",""
"298",NA,"Burchielli, Riccardo","M","Disegni","IT, USA","P","DC Comics, Marvel Comics, Panini Comics","",""
"299",NA,"Burzo, Valeria","F","Disegni","IT","GN","Edizioni INKiostro","",""
"300",NA,"Buscaglia, Alfio","M","Disegni","IT, FR","P, GN","…ditions Glenat, ReNoir Comics, Sergio Bonelli Editore","",""
"301",NA,"Buscicchio, Alberto","M","Disegni","IT","P","Sergio Bonelli Editore","",""
"302",NA,"Bussacchini, Angelo","M","Colori, Disegni","IT, FR","GN","Albin Michel, BD, Casterman, Vents d'Ouest","Scuola internazionale di Comics - Brescia",""
"303",NA,"Bussola, Matteo","M","Disegni","IT","P","Sergio Bonelli Editore","",""
"304",NA,"Busticchi, Fabrizio","M","Disegni","IT","P","Sergio Bonelli Editore","",""
"305",NA,"ButticË, Federico","M","Disegni","IT","P","Editoriale Cosmo","Scuola internazionale di Comics - Torino",""
"306",NA,"Buttolo, Gianluca","M","Autore Unico","IT","GN","ReNoir Comics","",""
"307",NA,"Cabella, Sergio","M","Autore Unico, Disegni, Sceneggiatura","IT","P, GN","Shockdom, The Walt Disney Company","Scuola internazionale di Comics - Genova, Scuola di fumetto (Associazione scuola di fumetto - varie sedi)",""
"308",NA,"Caccia, Massimo","M","Colori","IT","GN","BD","",""
"309",NA,"Cacciatore, Livio","M","Disegni","IT","P","The Walt Disney Company","",""
"310",NA,"Cacciatore, Michela","F","Disegni","IT, FR","P, GN","Aurea Editoriale, …ditions Soleil, Editoriale Aurea, The Walt Disney Company","",""
"311",NA,"Cadelo, Silvio","M","Autore Unico, Disegni","IT","GN","Les Humanoides Associes","",""
"312",NA,"Cadonici, Letizia","F","Disegni","IT","P","Star Comics","",""
"313",NA,"Cafaro, Giuseppe","M","Disegni","USA","P","BOOM! Studios, DC Comics, Urban Comics","",""
"314",NA,"Cainfalla, Cristian","M","Disegni","FR","GN","…ditions Dupuis","",""
